Account: Boston University
User: Sarah Healey
Generated On: 02/12/2026
For Time Period: January 1  2021 - December 31  2021
Filters: 
Streams: All
Groups: All
Ordered Route: All


"Serial","Description","Capacity","Stream Type","Reason","Fullness Level at Collection","Collection Time","Note"
"1526476","91 Bay State Rd","Smart Max","Waste","Not Ready","20%","01/16/2021 07:55","-"
"1526477","100 Bay State Rd @ Bay State Road Entrance","Smart Max","Waste","Not Ready","0%","01/16/2021 07:59","-"
"1526394","140  Bay State Rd","Smart Max","Waste","Not Ready","20%","01/16/2021 07:59","-"
"1526382","100 Bay State Rd @ Deerfield St Entrance","Smart Max","Waste","Not Ready","0%","01/16/2021 08:05","-"
"1526394","140  Bay State Rd","Smart","Single Stream","Fullness","80%","01/16/2021 08:14","-"
"1526456","DESTRYED BY FIRE 214 Bay State Road @ Granby St","Smart","Single Stream","Fullness","80%","01/16/2021 08:48","-"
"1526500","226 Bay State Rd","Smart","Single Stream","Not Ready","20%","01/16/2021 08:49","-"
"1526484","266 Bay State Rd-courtyard Behind 725 Comm","Smart","Single Stream","Not Ready","20%","01/16/2021 08:54","-"
"1526462","745 Comm Ave","Smart","Single Stream","Not Ready","20%","01/16/2021 09:56","-"
"1526395","755 Comm Ave","Smart","Single Stream","Not Ready","20%","01/16/2021 09:59","-"
"1526387","775 Comm Ave @ Front Entrance","Smart","Single Stream","Not Ready","20%","01/16/2021 10:00","-"
"1526475","277 Babcock St @ City Convenience","Smart","Single Stream","Not Ready","20%","01/16/2021 10:21","-"
"1526501","275 Babcock St - Sleeper Hall","Smart","Single Stream","Not Ready","40%","01/16/2021 10:24","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart","Single Stream","Not Ready","60%","01/16/2021 10:43","-"
"1526512","700 Comm Ave Garage - 2B","Smart","Single Stream","Fullness","80%","01/16/2021 11:40","-"
"1526455","925 Comm Ave Aggnis Arena","Smart Max","Waste","Fullness","60%","01/16/2021 12:09","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart Max","Waste","Fullness","100%","01/16/2021 12:16","-"
"1526469","33 Agganis Way","Smart Max","Waste","Fullness","60%","01/16/2021 12:20","-"
"1526475","277 Babcock St @ City Convenience","Smart Max","Waste","Fullness","60%","01/16/2021 12:28","-"
"1526487","270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128","Smart Max","Waste","Fullness","100%","01/17/2021 06:45","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart Max","Waste","Not Ready","0%","01/17/2021 07:15","-"
"1526482","120 Ashford St","Smart Max","Waste","Fullness","60%","01/17/2021 09:20","-"
"1526454","728 Comm Ave","Smart Max","Waste","Fullness","80%","01/18/2021 07:00","-"
"1526389","700 Comm Ave Citizens Bank","Smart Max","Waste","Fullness","60%","01/18/2021 07:06","-"
"1526463","718 Comm Ave","Smart Max","Waste","Not Ready","20%","01/18/2021 07:06","-"
"1526487","270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128","Smart Max","Waste","Fullness","100%","01/18/2021 07:11","-"
"1526401","549 Comm Ave @ Deerfield","Smart Max","Waste","Not Ready","20%","01/18/2021 07:16","-"
"1526393","565 Comm Ave","Smart Max","Waste","Not Ready","40%","01/18/2021 07:19","-"
"1526391","595 Comm ave Right Entrance","Smart Max","Waste","Not Ready","20%","01/18/2021 07:25","-"
"1526480","595 Comm Ave Entrance Left Side","Smart Max","Waste","Not Ready","20%","01/18/2021 07:28","-"
"1526478","595 Comm Ave @ Silber Way","Smart Max","Waste","Not Ready","20%","01/18/2021 07:30","-"
"1526392","617 Comm Ave","Smart Max","Waste","Not Ready","20%","01/18/2021 07:32","-"
"1526394","140  Bay State Rd","Smart Max","Waste","Not Ready","20%","01/18/2021 07:50","-"
"1526378","700 Albany St City Convenience","Smart Max","Waste","Fullness","80%","01/18/2021 07:56","-"
"1526485","264 Bay State Rd","Smart Max","Waste","Fullness","60%","01/18/2021 09:49","-"
"1517448","610 Beacon St","Smart","Single Stream","Not Ready","60%","01/19/2021 04:27","-"
"1526483","34 Buswell St","Smart","Single Stream","Fullness","100%","01/19/2021 05:08","-"
"1526464","509 Park Dr @ Buswell","Smart","Single Stream","Not Ready","40%","01/19/2021 05:12","-"
"1526502","514 Park Dr","Smart","Single Stream","Not Ready","0%","01/19/2021 05:24","-"
"1526459","610 Comm Ave","Smart","Single Stream","Not Ready","20%","01/19/2021 06:06","-"
"1526479","580 Comm Ave Street","Smart","Single Stream","Not Ready","20%","01/19/2021 06:06","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart Max","Waste","Not Ready","0%","01/19/2021 07:36","-"
"1526399","Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St","Smart Max","Waste","Not Ready","0%","01/19/2021 08:06","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Fullness","80%","01/19/2021 08:16","-"
"1526488","765 Comm Ave - Behind Law School Auditorium (Access from BSR)","Smart","Single Stream","Not Ready","20%","01/19/2021 08:21","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart Max","Waste","Fullness","80%","01/19/2021 08:25","-"
"1526464","509 Park Dr @ Buswell","Smart Max","Waste","Fullness","100%","01/19/2021 09:56","-"
"1526455","925 Comm Ave Aggnis Arena","Smart","Single Stream","Fullness","80%","01/19/2021 10:11","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart","Single Stream","Not Ready","40%","01/19/2021 10:15","-"
"1526469","33 Agganis Way","Smart","Single Stream","Not Ready","60%","01/19/2021 10:21","-"
"1526501","275 Babcock St - Sleeper Hall","Smart","Single Stream","Fullness","80%","01/19/2021 10:46","-"
"1526475","277 Babcock St @ City Convenience","Smart","Single Stream","Fullness","80%","01/19/2021 11:41","-"
"1526499","278 Babcock St @ Gardner - New Balance Field Main Entrance","Smart","Single Stream","Fullness","100%","01/19/2021 11:49","-"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Smart","Single Stream","Not Ready","20%","01/19/2021 12:34","-"
"1513540","820 Comm Ave. Right side of Bldg","Smart","Single Stream","Not Ready","60%","01/19/2021 13:16","-"
"1513540","820 Comm Ave. Right side of Bldg","Smart Max","Waste","Not Ready","0%","01/19/2021 13:16","-"
"1513539","275 Babcock – main entrance","Smart","Single Stream","Not Ready","40%","01/19/2021 13:21","-"
"1513541","820 Comm Ave College of Art Entrance (recy 9521078)","Smart","Single Stream","Not Ready","40%","01/19/2021 13:22","-"
"1513538","820 Comm Ave  Booth Theatre - Front Entrance","Smart","Single Stream","Not Ready","20%","01/19/2021 13:23","-"
"1526454","728 Comm Ave","Smart","Single Stream","Not Ready","40%","01/19/2021 13:26","-"
"1526463","718 Comm Ave","Smart","Single Stream","Fullness","100%","01/19/2021 13:27","-"
"1526383","700 Comm Ave Subway","Smart","Single Stream","Not Ready","40%","01/19/2021 13:28","-"
"1526517","700 Comm Ave Garage - 3B","Smart Max","Waste","Fullness","60%","01/19/2021 14:09","-"
"1526506","700 Comm Ave Garage - 3C","Smart Max","Waste","Fullness","80%","01/19/2021 14:12","-"
"1526509","595 Comm Ave Garage P1 West","Smart Max","Waste","Fullness","80%","01/19/2021 14:22","-"
"1526511","595 Comm Ave Garage P1 East","Smart Max","Waste","Fullness","80%","01/19/2021 14:24","-"
"1526378","700 Albany St City Convenience","Smart","Single Stream","Not Ready","40%","01/19/2021 15:10","-"
"1526380","675 Comm Ave","Smart Max","Waste","Fullness","60%","01/20/2021 07:45","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart Max","Waste","Not Ready","0%","01/20/2021 08:12","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","0%","01/20/2021 08:21","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart","Single Stream","Fullness","100%","01/20/2021 10:23","-"
"1526474","BU boathouse 619 Memorial Drive","Smart Max","Waste","Fullness","60%","01/20/2021 14:15","-"
"1526506","700 Comm Ave Garage - 3C","Smart","Single Stream","Fullness","100%","01/20/2021 14:28","-"
"1526457","700 Comm Ave Garage - 3A","Smart","Single Stream","Fullness","100%","01/20/2021 14:33","-"
"1526457","700 Comm Ave Garage - 3A","Smart Max","Waste","Not Ready","20%","01/20/2021 14:33","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/20/2021 15:02","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","40%","01/20/2021 15:13","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/20/2021 15:13","-"
"1526467","65 Pilgrim Rd DAMAGED","Smart","Single Stream","Not Ready","20%","01/20/2021 15:17","-"
"1526500","226 Bay State Rd","Smart Max","Waste","Fullness","100%","01/21/2021 07:15","-"
"1526487","270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128","Smart Max","Waste","Fullness","100%","01/21/2021 07:17","-"
"1526485","264 Bay State Rd","Smart Max","Waste","Fullness","80%","01/21/2021 07:20","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","0%","01/21/2021 08:13","-"
